Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Paulista,seg 20/01/25,Botafogo-SP,São Paulo,4-2-3-1,Maximiliano Cuberas,0:0,0,0,Empate
Campeonato Paulista,qui 23/01/25,São Paulo,Guarani,4-2-3-1,Luis Zubeldía,1:0,1,0,São Paulo
Campeonato Paulista,dom 26/01/25,São Paulo,Corinthians,4-2-3-1,Luis Zubeldía,3:1,3,1,São Paulo
Campeonato Paulista,qua 29/01/25,Portuguesa,São Paulo,4-2-3-1,Luis Zubeldía,1:2,1,2,São Paulo
Campeonato Paulista,sáb 01/02/25,Santos,São Paulo,4-2-3-1,Luis Zubeldía,3:1,3,1,Santos
Campeonato Paulista,qua 05/02/25,São Paulo,Mirassol,4-2-3-1,Luis Zubeldía,4:1,4,1,São Paulo
Campeonato Paulista,sáb 08/02/25,Bragantino,São Paulo,4-2-3-1,Luis Zubeldía,1:0,1,0,Bragantino
Campeonato Paulista,seg 10/02/25,São Paulo,Inter Limeira,4-2-3-1,Luis Zubeldía,0:0,0,0,Empate
Campeonato Paulista,qui 13/02/25,São Paulo,Velo Clube,4-2-3-1,Luis Zubeldía,3:3,3,3,Empate
Campeonato Paulista,dom 16/02/25,Palmeiras,São Paulo,3-4-2-1,Luis Zubeldía,0:0,0,0,Empate
Campeonato Paulista,qua 19/02/25,São Paulo,Ponte Preta,4-2-3-1,Luis Zubeldía,1:2,1,2,Ponte Preta
Campeonato Paulista,dom 23/02/25,São Bernardo,São Paulo,3-4-1-2,Luis Zubeldía,1:3,1,3,São Paulo
