Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Carioca,dom 12/01/25,Flamengo,Boavista,4-2-3-1,Cléber dos Santos,1:2,1,2,Boavista
Campeonato Carioca,qui 16/01/25,Madureira,Flamengo,4-2-3-1,Cléber dos Santos,1:1,1,1,Empate
Campeonato Carioca,dom 19/01/25,Flamengo,Nova Iguaçu,4-2-3-1,Cléber dos Santos,1:2,1,2,Nova Iguaçu
Campeonato Carioca,qua 22/01/25,Bangu,Flamengo,4-2-3-1,Cléber dos Santos,0:5,0,5,Flamengo
Campeonato Carioca,sáb 25/01/25,Volta Redonda,Flamengo,4-2-3-1,Filipe Luís,0:2,0,2,Flamengo
Campeonato Carioca,qui 30/01/25,Flamengo,Sampaio-RJ,4-3-3 ofensivo,Filipe Luís,2:0,2,0,Flamengo
Supercopa Rei,dom 02/02/25,Botafogo,Flamengo,4-2-3-1,Filipe Luís,1:3,1,3,Flamengo
Campeonato Carioca,qua 05/02/25,Portuguesa-RJ,Flamengo,4-2-3-1,Filipe Luís,0:5,0,5,Flamengo
Campeonato Carioca,sáb 08/02/25,Fluminense,Flamengo,4-2-3-1,Filipe Luís,0:0,0,0,Empate
Campeonato Carioca,qua 12/02/25,Flamengo,Botafogo,4-3-3 ofensivo,Filipe Luís,1:0,1,0,Flamengo
Campeonato Carioca,sáb 15/02/25,Flamengo,Vasco da Gama,4-3-3 ofensivo,Filipe Luís,2:0,2,0,Flamengo
