Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Mineiro,dom 19/01/25,Aymorés,Atlético-MG,4-3-3 ofensivo,Guilherme Dalla Déa,0:0,0,0,Empate
Campeonato Mineiro,qua 22/01/25,Atlético-MG,Democrata GV,4-3-3 ofensivo,Guilherme Dalla Déa,1:1,1,1,Empate
Campeonato Mineiro,dom 26/01/25,Pouso Alegre,Atlético-MG,4-4-2,Guilherme Dalla Déa,0:0,0,0,Empate
Campeonato Mineiro,qua 29/01/25,Atlético-MG,América-MG,4-4-2,Cuca,1:1,1,1,Empate
Campeonato Mineiro,sáb 01/02/25,Villa Nova,Atlético-MG,4-4-2,Cuca,0:1,0,1,Atlético-MG
Campeonato Mineiro,ter 04/02/25,Atlético-MG,Athletic,4-4-2,Cuca,1:0,1,0,Atlético-MG
Campeonato Mineiro,dom 09/02/25,Cruzeiro,Atlético-MG,4-2-3-1,Cuca,0:2,0,2,Atlético-MG
Campeonato Mineiro,qua 12/02/25,Atlético-MG,Itabirito,4-4-2,Cuca,3:0,3,0,Atlético-MG
Campeonato Mineiro,sáb 15/02/25,Atlético-MG,Tombense,4-2-3-1,Cuca,2:0,2,0,Atlético-MG
Copa do Brasil,ter 18/02/25,Tocantinópolis,Atlético-MG,?,Cuca,0:2,0,2,Atlético-MG
Campeonato Mineiro,sáb 22/02/25,Tombense,Atlético-MG,4-2-3-1,Guilherme Dalla Déa,0:2,0,2,Atlético-MG
Copa do Brasil,qua 05/03/25,Atlético-MG,Manaus,,,4:1,4,1,Atlético-MG
