Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Gaúcho,qua 22/01/25,Brasil Pelotas,Grêmio,4-2-3-1,Gustavo Quinteros,0:0,0,0,Empate
Campeonato Gaúcho,dom 26/01/25,Grêmio,Caxias,4-2-3-1,Gustavo Quinteros,4:0,4,0,Grêmio
Campeonato Gaúcho,qua 29/01/25,Monsoon,Grêmio,4-2-3-1,Gustavo Quinteros,0:3,0,3,Grêmio
Campeonato Gaúcho,sáb 01/02/25,Grêmio,São Luiz,4-2-3-1,Gustavo Quinteros,5:0,5,0,Grêmio
Campeonato Gaúcho,qua 05/02/25,Juventude,Grêmio,4-2-3-1,Gustavo Quinteros,2:0,2,0,Juventude
Campeonato Gaúcho,sáb 08/02/25,Grêmio,Internacional,4-2-3-1,Gustavo Quinteros,1:1,1,1,Empate
Campeonato Gaúcho,ter 11/02/25,Grêmio,Pelotas,4-1-4-1,Gustavo Quinteros,5:0,5,0,Grêmio
Campeonato Gaúcho,sáb 15/02/25,Ypiranga-RS,Grêmio,4-2-3-1,Gustavo Quinteros,0:1,0,1,Grêmio
Copa do Brasil,qua 19/02/25,São Raimundo-RR,Grêmio,,Gustavo Quinteros,1:1,1,1,Empate
Campeonato Gaúcho,sáb 22/02/25,Grêmio,Juventude,4-2-3-1,Gustavo Quinteros,2:1,2,1,Grêmio
