Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Brasileiro Série A,dom 11/08/24,Flamengo,Palmeiras,3-4-2-1,Abel Ferreira,1:1,1,1,Empate
Copa Libertadores,qua 14/08/24,Botafogo,Palmeiras,3-4-3,Abel Ferreira,2:1,2,1,Botafogo
Campeonato Brasileiro Série A,dom 18/08/24,Palmeiras,São Paulo,4-2-3-1,Abel Ferreira,2:1,2,1,Palmeiras
Copa Libertadores,qua 21/08/24,Palmeiras,Botafogo,4-2-3-1,Abel Ferreira,2:2,2,2,Empate
Campeonato Brasileiro Série A,sáb 24/08/24,Palmeiras,Cuiabá,4-2-3-1,Abel Ferreira,5:0,5,0,Palmeiras
Campeonato Brasileiro Série A,dom 01/09/24,Athletico-PR,Palmeiras,4-2-3-1,Abel Ferreira,0:2,0,2,Palmeiras
Campeonato Brasileiro Série A,dom 15/09/24,Palmeiras,Criciúma,4-2-3-1,Abel Ferreira,5:0,5,0,Palmeiras
Campeonato Brasileiro Série A,dom 22/09/24,Vasco da Gama,Palmeiras,4-2-3-1,Abel Ferreira,0:1,0,1,Palmeiras
Campeonato Brasileiro Série A,sáb 28/09/24,Palmeiras,Atlético-MG,4-2-3-1,Abel Ferreira,2:1,2,1,Palmeiras
Campeonato Brasileiro Série A,sáb 05/10/24,Bragantino,Palmeiras,4-2-3-1,Abel Ferreira,0:0,0,0,Empate
Campeonato Brasileiro Série A,dom 20/10/24,Juventude,Palmeiras,4-2-3-1,Abel Ferreira,3:5,3,5,Palmeiras
Campeonato Brasileiro Série A,sáb 26/10/24,Palmeiras,Fortaleza,4-2-3-1,Abel Ferreira,2:2,2,2,Empate
