Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Cearense - Fase de Grupos,sáb 20/01/24,Fortaleza,Horizonte,4-2-3-1,Juan Pablo Vojvoda,2:0,2,0,Fortaleza
Campeonato Cearense - Fase de Grupos,dom 28/01/24,Barbalha,Fortaleza,4-2-3-1,Juan Pablo Vojvoda,0:5,0,5,Fortaleza
Campeonato Cearense - Fase de Grupos,qua 31/01/24,Fortaleza,Iguatu,4-2-3-1,Juan Pablo Vojvoda,3:1,3,1,Fortaleza
Copa do Nordeste - Fase de Grupos,sáb 03/02/24,Fortaleza,América-RN,4-2-3-1,Juan Pablo Vojvoda,2:1,2,1,Fortaleza
Campeonato Cearense - Fase de Grupos,qua 07/02/24,Ferroviário,Fortaleza,4-2-3-1,Juan Pablo Vojvoda,1:1,1,1,Empate
Copa do Nordeste - Fase de Grupos,dom 11/02/24,CRB,Fortaleza,3-5-2,Juan Pablo Vojvoda,1:0,1,0,CRB
Copa do Nordeste - Fase de Grupos,qua 14/02/24,Fortaleza,River-PI,4-2-3-1,Juan Pablo Vojvoda,3:1,3,1,Fortaleza
Campeonato Cearense - Fase de Grupos,sáb 17/02/24,Fortaleza,Ceará,4-2-3-1,Juan Pablo Vojvoda,3:3,3,3,Empate
Copa do Nordeste - Fase de Grupos,qua 21/02/24,Sport,Fortaleza,4-2-3-1,Juan Pablo Vojvoda,1:1,1,1,Empate
Copa do Brasil,dom 03/03/24,Fluminense-PI,Fortaleza,?,Juan Pablo Vojvoda,0:3,0,3,Fortaleza
Copa do Nordeste - Fase de Grupos,qui 07/03/24,Botafogo-PB,Fortaleza,4-1-3-2,Juan Pablo Vojvoda,1:1,1,1,Empate
Campeonato Cearense - Fase Final,dom 10/03/24,Maracanã,Fortaleza,4-1-4-1,Juan Pablo Vojvoda,1:1,1,1,Empate
Copa do Brasil,qui 14/03/24,Fortaleza,Retrô,?,Juan Pablo Vojvoda,0:0,0,0,Empate
Campeonato Cearense - Fase Final,dom 17/03/24,Fortaleza,Maracanã,4-2-3-1,Juan Pablo Vojvoda,3:0,3,0,Fortaleza
Copa do Nordeste - Fase de Grupos,qua 20/03/24,Fortaleza,Ceará,4-4-2 duplo 6,Juan Pablo Vojvoda,0:1,0,1,Ceará
Copa do Nordeste - Fase de Grupos,sáb 23/03/24,Fortaleza,Vitória,4-4-2 duplo 6,Juan Pablo Vojvoda,0:1,0,1,Vitória
Copa do Nordeste - Fase de Grupos,qua 27/03/24,Maranhão,Fortaleza,4-4-2 duplo 6,Juan Pablo Vojvoda,3:2,3,2,Maranhão
Campeonato Cearense - Fase Final,sáb 30/03/24,Fortaleza,Ceará,3-5-2 plano,Juan Pablo Vojvoda,0:0,0,0,Empate
Copa Sul-Americana,qua 03/04/24,Trinidense,Fortaleza,3-5-2 plano,Juan Pablo Vojvoda,0:2,0,2,Fortaleza
Campeonato Cearense - Fase Final,sáb 06/04/24,Ceará,Fortaleza,5-3-2,Juan Pablo Vojvoda,1:1,1,1,Empate
Copa Sul-Americana,qua 10/04/24,Fortaleza,Nacional Potosi,4-3-3 ofensivo,Juan Pablo Vojvoda,5:0,5,0,Fortaleza
Campeonato Brasileiro Série A,sáb 13/04/24,São Paulo,Fortaleza,3-5-2 plano,Juan Pablo Vojvoda,1:2,1,2,Fortaleza
Campeonato Brasileiro Série A,qua 17/04/24,Fortaleza,Cruzeiro,3-5-2 plano,Juan Pablo Vojvoda,1:1,1,1,Empate
Copa do Nordeste - Fase Final,dom 21/04/24,Fortaleza,Altos,4-4-2 duplo 6,Juan Pablo Vojvoda,5:0,5,0,Fortaleza
Copa Sul-Americana,qui 25/04/24,Fortaleza,Boca Juniors,3-5-2,Juan Pablo Vojvoda,4:2,4,2,Fortaleza
Campeonato Brasileiro Série A,dom 28/04/24,Fortaleza,Bragantino,4-2-3-1,Juan Pablo Vojvoda,1:1,1,1,Empate
Copa do Brasil,qua 01/05/24,Fortaleza,Vasco da Gama,4-4-2,Juan Pablo Vojvoda,0:0,0,0,Empate
Campeonato Brasileiro Série A,sáb 04/05/24,Corinthians,Fortaleza,4-2-3-1,Juan Pablo Vojvoda,0:0,0,0,Empate
Copa Sul-Americana,qua 08/05/24,Nacional Potosi,Fortaleza,4-4-2,Juan Pablo Vojvoda,4:1,4,1,Nacional Potosi
Campeonato Brasileiro Série A,dom 12/05/24,Fortaleza,Botafogo,4-2-3-1,Juan Pablo Vojvoda,1:1,1,1,Empate
