Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Brasileiro Série A,dom 11/08/24,Internacional,Athletico-PR,4-3-3 ofensivo,Martín Varini,2:2,2,2,Empate
Copa Sul-Americana,qui 15/08/24,Athletico-PR,Belgrano,4-3-3 ofensivo,Martín Varini,2:1,2,1,Athletico-PR
Campeonato Brasileiro Série A,dom 18/08/24,Athletico-PR,Juventude,4-3-3 ofensivo,Martín Varini,1:2,1,2,Juventude
Copa Sul-Americana,qui 22/08/24,Belgrano,Athletico-PR,3-4-2-1,Martín Varini,0:2,0,2,Athletico-PR
Campeonato Brasileiro Série A,seg 26/08/24,Vasco da Gama,Athletico-PR,3-4-2-1,Martín Varini,2:1,2,1,Vasco da Gama
Copa do Brasil,qui 29/08/24,Vasco da Gama,Athletico-PR,3-4-2-1,Martín Varini,2:1,2,1,Vasco da Gama
Campeonato Brasileiro Série A,dom 01/09/24,Athletico-PR,Palmeiras,4-4-2 duplo 6,Martín Varini,0:2,0,2,Palmeiras
Copa do Brasil,qua 11/09/24,Athletico-PR,Vasco da Gama,3-4-2-1,Martín Varini,2:1,2,1,Athletico-PR
Campeonato Brasileiro Série A,sáb 14/09/24,Athletico-PR,Fortaleza,4-2-3-1,Martín Varini,1:1,1,1,Empate
Copa Sul-Americana,qui 19/09/24,Athletico-PR,Racing,4-2-3-1,Martín Varini,1:0,1,0,Athletico-PR
Campeonato Brasileiro Série A,dom 22/09/24,Criciúma,Athletico-PR,4-3-3 ofensivo,Martín Varini,0:0,0,0,Empate
Copa Sul-Americana,qui 26/09/24,Racing,Athletico-PR,4-2-3-1,Lucho González,4:1,4,1,Racing
Campeonato Brasileiro Série A,dom 29/09/24,Flamengo,Athletico-PR,3-4-2-1,Lucho González,1:0,1,0,Flamengo
Campeonato Brasileiro Série A,sáb 05/10/24,Athletico-PR,Botafogo,4-2-3-1,Lucho González,0:1,0,1,Botafogo
Campeonato Brasileiro Série A,qui 17/10/24,Corinthians,Athletico-PR,3-4-2-1,Lucho González,5:2,5,2,Corinthians
Campeonato Brasileiro Série A,ter 22/10/24,Fluminense,Athletico-PR,3-4-2-1,Lucho González,1:0,1,0,Fluminense
Campeonato Brasileiro Série A,sáb 26/10/24,Athletico-PR,Cruzeiro,4-2-3-1,Lucho González,3:0,3,0,Athletico-PR
Campeonato Brasileiro Série A,sáb 02/11/24,Athletico-PR,Vitória,3-4-2-1,Lucho González,1:2,1,2,Vitória
Campeonato Brasileiro Série A,sáb 09/11/24,São Paulo,Athletico-PR,4-3-3 ofensivo,Lucho González,2:1,2,1,São Paulo
Campeonato Brasileiro Série A,sáb 16/11/24,Athletico-PR,Atlético-MG,4-2-3-1,Lucho González,1:0,1,0,Athletico-PR
Campeonato Brasileiro Série A,qua 20/11/24,Athletico-PR,Atlético-GO,4-2-3-1,Lucho González,2:0,2,0,Athletico-PR
