Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Gaúcho,qua 22/01/25,Juventude,Ypiranga-RS,4-4-2 losango,Fábio Matias,2:0,2,0,Juventude
Campeonato Gaúcho,sáb 25/01/25,Internacional,Juventude,4-4-2,Fábio Matias,2:0,2,0,Internacional
Campeonato Gaúcho,ter 28/01/25,Juventude,Guarany Bagé,4-4-2,Fábio Matias,1:0,1,0,Juventude
Campeonato Gaúcho,sáb 01/02/25,Caxias,Juventude,4-4-2,Fábio Matias,0:2,0,2,Juventude
Campeonato Gaúcho,qua 05/02/25,Juventude,Grêmio,4-4-2,Fábio Matias,2:0,2,0,Juventude
Campeonato Gaúcho,dom 09/02/25,Juventude,São José-RS,4-3-3 defensivo,Fábio Matias,3:1,3,1,Juventude
