Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Baiano,sáb 11/01/25,Vitória,Barcelona-BA,,Thiago Carpini,0:0,0,0,Empate
Campeonato Baiano,qua 15/01/25,Juazeirense,Vitória,,Thiago Carpini,1:4,1,4,Vitória
Campeonato Baiano,dom 19/01/25,Vitória,Jacuipense,,Thiago Carpini,1:1,1,1,Empate
Copa do Nordeste,qua 22/01/25,CRB,Vitória,?,Thiago Carpini,2:2,2,2,Empate
Campeonato Baiano,sáb 25/01/25,Colo Colo-BA,Vitória,?,Thiago Carpini,1:4,1,4,Vitória
Campeonato Baiano,qua 29/01/25,Vitória,Jacobina,,Thiago Carpini,4:0,4,0,Vitória
Campeonato Baiano,sáb 01/02/25,Bahia,Vitória,,Thiago Carpini,0:0,0,0,Empate
Copa do Nordeste,ter 04/02/25,Vitória,Sousa,,Thiago Carpini,1:0,1,0,Vitória
Campeonato Baiano,sáb 08/02/25,Vitória,Porto-BA,?,Thiago Carpini,2:1,2,1,Vitória
Copa do Nordeste,ter 11/02/25,Vitória,Ferroviário,,Thiago Carpini,2:1,2,1,Vitória
Campeonato Baiano,dom 16/02/25,Vitória,Jequié,,Thiago Carpini,2:0,2,0,Vitória
Copa do Nordeste,qua 19/02/25,Fortaleza,Vitória,,Thiago Carpini,1:2,1,2,Vitória
Campeonato Baiano,sáb 22/02/25,Atl. Alagoinhas,Vitória,,Thiago Carpini,0:1,0,1,Vitória
Copa do Brasil,ter 25/02/25,Maranhão,Vitória,,Thiago Carpini,0:1,0,1,Vitória
Campeonato Baiano,sáb 01/03/25,Atl. Alagoinhas,Vitória,,Thiago Carpini,0:4,0,4,Vitória
Copa do Nordeste,qua 05/03/25,Vitória,Altos,,Thiago Carpini,1:1,1,1,Empate
Campeonato Baiano,sáb 08/03/25,Vitória,Atl. Alagoinhas,,Thiago Carpini,3:0,3,0,Vitória
Copa do Brasil,qua 12/03/25,Vitória,Náutico,,Thiago Carpini,0:2,0,2,Náutico
