Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Baiano,dom 12/01/25,Jacuipense,Bahia,?,Leonardo Galbes,0:0,0,0,Empate
Campeonato Baiano,qui 16/01/25,Bahia,Atl. Alagoinhas,?,Leonardo Galbes,0:1,0,1,Atl. Alagoinhas
Campeonato Baiano,dom 19/01/25,Jacobina,Bahia,?,Leonardo Galbes,1:1,1,1,Empate
Copa do Nordeste,qui 23/01/25,Bahia,Sampaio Corrêa,,Rogério Ceni,4:0,4,0,Bahia
Campeonato Baiano,dom 26/01/25,Bahia,Porto-BA,,Rogério Ceni,2:0,2,0,Bahia
Campeonato Baiano,qua 29/01/25,Jequié,Bahia,,Rogério Ceni,1:3,1,3,Bahia
Campeonato Baiano,sáb 01/02/25,Bahia,Vitória,,Rogério Ceni,0:0,0,0,Empate
Copa do Nordeste,qua 05/02/25,Juazeirense,Bahia,,Rogério Ceni,0:0,0,0,Empate
Campeonato Baiano,dom 09/02/25,Bahia,Colo Colo-BA,,Rogério Ceni,6:0,6,0,Bahia
Copa do Nordeste,qua 12/02/25,Bahia,América-RN,?,Rogério Ceni,5:1,5,1,Bahia
Campeonato Baiano,sáb 15/02/25,Barcelona-BA,Bahia,?,Rogério Ceni,0:1,0,1,Bahia
Copa Libertadores,ter 18/02/25,The Strongest,Bahia,4-5-1,Rogério Ceni,1:1,1,1,Empate
Campeonato Baiano,sáb 22/02/25,Bahia,Juazeirense,,Rogério Ceni,2:0,2,0,Bahia
Copa Libertadores,ter 25/02/25,Bahia,The Strongest,4-2-3-1,Rogério Ceni,3:0,3,0,Bahia
Campeonato Baiano,sáb 01/03/25,Bahia,Jacuipense,,Rogério Ceni,1:2,1,2,Jacuipense
