Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Mineiro,dom 19/01/25,Cruzeiro,Tombense,4-2-3-1,Fernando Diniz,1:0,1,0,Cruzeiro
Campeonato Mineiro,qua 22/01/25,Athletic,Cruzeiro,4-3-3 ofensivo,Fernando Diniz,1:0,1,0,Athletic
Campeonato Mineiro,sáb 25/01/25,Cruzeiro,Betim Futebol,4-4-2,Fernando Diniz,1:1,1,1,Empate
Campeonato Mineiro,qui 30/01/25,Itabirito,Cruzeiro,4-3-3 ofensivo,Wesley Carvalho,1:4,1,4,Cruzeiro
Campeonato Mineiro,dom 02/02/25,Cruzeiro,Uberlândia,4-4-2,Wesley Carvalho,3:1,3,1,Cruzeiro
Campeonato Mineiro,qua 05/02/25,América-MG,Cruzeiro,4-4-2,Wesley Carvalho,1:1,1,1,Empate
Campeonato Mineiro,dom 09/02/25,Cruzeiro,Atlético-MG,4-4-2,Wesley Carvalho,0:2,0,2,Atlético-MG
Campeonato Mineiro,qua 12/02/25,Democrata GV,Cruzeiro,4-3-3 ofensivo,Wesley Carvalho,2:1,2,1,Democrata GV
Campeonato Mineiro,dom 16/02/25,Cruzeiro,América-MG,4-2-3-1,Wesley Carvalho,1:1,1,1,Empate
