Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Carioca - Taça Guanabara,qua 17/01/24,Botafogo,Madureira,3-4-3 plano,Tiago Nunes,1:0,1,0,Botafogo
Campeonato Carioca - Taça Guanabara,sáb 20/01/24,Botafogo,Bangu,3-4-3 plano,Tiago Nunes,2:0,2,0,Botafogo
Campeonato Carioca - Taça Guanabara,qua 24/01/24,Boavista,Botafogo,3-4-2-1,Tiago Nunes,1:0,1,0,Boavista
Campeonato Carioca - Taça Guanabara,sáb 27/01/24,Botafogo,Sampaio-RJ,4-4-2,Tiago Nunes,2:0,2,0,Botafogo
Campeonato Carioca - Taça Guanabara,ter 30/01/24,Botafogo,Portuguesa-RJ,3-4-3 plano,Tiago Nunes,1:1,1,1,Empate
Campeonato Carioca - Taça Guanabara,sáb 03/02/24,Botafogo,Nova Iguaçu,4-3-3 defensivo,Tiago Nunes,2:2,2,2,Empate
Campeonato Carioca - Taça Guanabara,qua 07/02/24,Flamengo,Botafogo,4-3-3 ofensivo,Tiago Nunes,1:0,1,0,Flamengo
Campeonato Carioca - Taça Guanabara,qua 14/02/24,Volta Redonda,Botafogo,4-1-4-1,Tiago Nunes,0:3,0,3,Botafogo
Campeonato Carioca - Taça Guanabara,dom 18/02/24,Botafogo,Vasco da Gama,4-3-3 ofensivo,Tiago Nunes,2:4,2,4,Vasco da Gama
Copa Libertadores,qua 21/02/24,Aurora,Botafogo,4-3-3 ofensivo,Tiago Nunes,1:1,1,1,Empate
Campeonato Carioca - Taça Guanabara,sáb 24/02/24,Audax-RJ,Botafogo,4-1-4-1,Fábio Matias,0:2,0,2,Botafogo
Copa Libertadores,qua 28/02/24,Botafogo,Aurora,4-3-3 ofensivo,Fábio Matias,6:0,6,0,Botafogo
Campeonato Carioca - Taça Guanabara,dom 03/03/24,Fluminense,Botafogo,4-3-3 ofensivo,Fábio Matias,2:4,2,4,Botafogo
Copa Libertadores,qua 06/03/24,Botafogo,Bragantino,4-3-3 ofensivo,Fábio Matias,2:1,2,1,Botafogo
