Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Mundial de Clubes,seg 18/12/23,Fluminense,Al Ahly,4-2-3-1,Fernando Diniz,2:0,2,0,Fluminense
Mundial de Clubes,sex 22/12/23,Man City,Fluminense,4-2-3-1,Fernando Diniz,4:0,4,0,Man City
Campeonato Carioca,qui 18/01/24,Volta Redonda,Fluminense,4-3-3 ofensivo,Fernando Diniz,1:1,1,1,Empate
Campeonato Carioca,dom 21/01/24,Fluminense,Portuguesa-RJ,4-3-3 ofensivo,Fernando Diniz,2:1,2,1,Fluminense
Campeonato Carioca,qui 25/01/24,Audax-RJ,Fluminense,4-2-3-1,Fernando Diniz,0:1,0,1,Fluminense
Campeonato Carioca,dom 28/01/24,Fluminense,Nova Iguaçu,4-4-2,Fernando Diniz,3:0,3,0,Fluminense
Campeonato Carioca,qui 01/02/24,Fluminense,Bangu,4-3-3 ofensivo,Fernando Diniz,4:1,4,1,Fluminense
Campeonato Carioca,dom 04/02/24,Boavista,Fluminense,4-2-3-1,Fernando Diniz,2:2,2,2,Empate
Campeonato Carioca,qui 08/02/24,Fluminense,Sampaio-RJ,4-4-2 duplo 6,Fernando Diniz,1:0,1,0,Fluminense
Campeonato Carioca,qua 14/02/24,Fluminense,Vasco da Gama,4-4-2 duplo 6,Fernando Diniz,0:0,0,0,Empate
Campeonato Carioca,sáb 17/02/24,Madureira,Fluminense,3-4-3 plano,Fernando Diniz,0:1,0,1,Fluminense
Recopa Sulamericana,qui 22/02/24,LDU Quito,Fluminense,4-2-3-1,Fernando Diniz,1:0,1,0,LDU Quito
Campeonato Carioca,dom 25/02/24,Flamengo,Fluminense,4-2-3-1,Fernando Diniz,2:0,2,0,Flamengo
Recopa Sulamericana,qui 29/02/24,Fluminense,LDU Quito,4-2-3-1,Fernando Diniz,2:0,2,0,Fluminense
Campeonato Carioca,dom 03/03/24,Fluminense,Botafogo,4-3-3 ofensivo,Fernando Diniz,2:4,2,4,Botafogo
Campeonato Carioca - Final,sáb 09/03/24,Fluminense,Flamengo,4-2-3-1,Fernando Diniz,0:2,0,2,Flamengo
Campeonato Carioca - Final,sáb 16/03/24,Flamengo,Fluminense,4-2-3-1,Fernando Diniz,0:0,0,0,Empate
Copa Libertadores,qua 03/04/24,Alianza Lima,Fluminense,4-2-3-1,Fernando Diniz,1:1,1,1,Empate
Copa Libertadores,ter 09/04/24,Fluminense,Colo-Colo,4-2-3-1,Fernando Diniz,2:1,2,1,Fluminense
Campeonato Brasileiro Série A,sáb 13/04/24,Fluminense,Bragantino,4-2-3-1,Fernando Diniz,2:2,2,2,Empate
Campeonato Brasileiro Série A,ter 16/04/24,Bahia,Fluminense,4-2-3-1,Fernando Diniz,2:1,2,1,Bahia
Campeonato Brasileiro Série A,sáb 20/04/24,Fluminense,Vasco da Gama,4-2-3-1,Fernando Diniz,2:1,2,1,Fluminense
Copa Libertadores,qui 25/04/24,Cerro Porteño,Fluminense,4-2-3-1,Fernando Diniz,0:0,0,0,Empate
Campeonato Brasileiro Série A,dom 28/04/24,Corinthians,Fluminense,4-2-3-1,Fernando Diniz,3:0,3,0,Corinthians
Copa do Brasil,qua 01/05/24,Sampaio Corrêa,Fluminense,4-3-3 ofensivo,Fernando Diniz,0:2,0,2,Fluminense
Campeonato Brasileiro Série A,sáb 04/05/24,Fluminense,Atlético-MG,4-2-3-1,Fernando Diniz,2:2,2,2,Empate
Copa Libertadores,qui 09/05/24,Colo-Colo,Fluminense,4-2-3-1,Fernando Diniz,0:1,0,1,Fluminense
Campeonato Brasileiro Série A,seg 13/05/24,São Paulo,Fluminense,4-2-3-1,Fernando Diniz,2:1,2,1,São Paulo
