Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Carioca,sáb 11/01/25,Nova Iguaçu,Vasco da Gama,4-4-2,Ramon Lima,1:1,1,1,Empate
Campeonato Carioca,qui 16/01/25,Vasco da Gama,Bangu,4-2-3-1,Ramon Lima,0:0,0,0,Empate
Campeonato Carioca,dom 19/01/25,Boavista,Vasco da Gama,4-2-3-1,Fábio Carille,1:1,1,1,Empate
Campeonato Carioca,qui 23/01/25,Vasco da Gama,Madureira,4-3-3 ofensivo,Fábio Carille,2:0,2,0,Vasco da Gama
Campeonato Carioca,dom 26/01/25,Vasco da Gama,Portuguesa-RJ,4-3-2-1,Fábio Carille,4:1,4,1,Vasco da Gama
Campeonato Carioca,qua 29/01/25,Maricá,Vasco da Gama,4-3-2-1,Fábio Carille,0:1,0,1,Vasco da Gama
Campeonato Carioca,sáb 01/02/25,Vasco da Gama,Volta Redonda,4-3-3 ofensivo,Fábio Carille,2:2,2,2,Empate
Campeonato Carioca,qua 05/02/25,Vasco da Gama,Fluminense,4-1-4-1,Fábio Carille,1:2,1,2,Fluminense
Campeonato Carioca,seg 10/02/25,Sampaio-RJ,Vasco da Gama,4-3-2-1,Fábio Carille,0:0,0,0,Empate
Campeonato Carioca,sáb 15/02/25,Flamengo,Vasco da Gama,4-4-2,Fábio Carille,2:0,2,0,Flamengo
Copa do Brasil,ter 18/02/25,U. Rondonópolis,Vasco da Gama,?,Fábio Carille,0:3,0,3,Vasco da Gama
Campeonato Carioca,dom 23/02/25,Vasco da Gama,Botafogo,4-3-3 ofensivo,Fábio Carille,1:0,1,0,Vasco da Gama
Campeonato Carioca,sáb 01/03/25,Vasco da Gama,Flamengo,4-3-3 ofensivo,Fábio Carille,0:1,0,1,Flamengo
