Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Copa do Brasil,qui 12/09/24,Flamengo,Bahia,4-2-3-1,Tite,1:0,1,0,Flamengo
Campeonato Brasileiro Série A,dom 15/09/24,Flamengo,Vasco da Gama,4-2-3-1,Tite,1:1,1,1,Empate
Copa Libertadores,qui 19/09/24,Flamengo,Peñarol,4-2-3-1,Tite,0:1,0,1,Peñarol
Campeonato Brasileiro Série A,dom 22/09/24,Grêmio,Flamengo,4-4-2,Tite,3:2,3,2,Grêmio
Copa Libertadores,qui 26/09/24,Peñarol,Flamengo,4-2-3-1,Tite,0:0,0,0,Empate
Campeonato Brasileiro Série A,dom 29/09/24,Flamengo,Athletico-PR,4-2-3-1,Tite,1:0,1,0,Flamengo
Copa do Brasil,qua 02/10/24,Flamengo,Corinthians,4-2-3-1,Filipe Luís,1:0,1,0,Flamengo
Campeonato Brasileiro Série A,sáb 05/10/24,Bahia,Flamengo,4-2-3-1,Filipe Luís,0:2,0,2,Flamengo
Campeonato Brasileiro Série A,qui 17/10/24,Flamengo,Fluminense,4-2-3-1,Filipe Luís,0:2,0,2,Fluminense
Copa do Brasil,dom 20/10/24,Corinthians,Flamengo,4-2-3-1,Tite,0:0,0,0,Empate
Campeonato Brasileiro Série A,sáb 26/10/24,Flamengo,Juventude,4-2-3-1,Filipe Luís,4:2,4,2,Flamengo
Campeonato Brasileiro Série A,qua 30/10/24,Internacional,Flamengo,4-2-3-1,Filipe Luís,1:1,1,1,Empate
Copa do Brasil,dom 03/11/24,Flamengo,Atlético-MG,4-2-3-1,Filipe Luís,3:1,3,1,Flamengo
Campeonato Brasileiro Série A,qua 06/11/24,Cruzeiro,Flamengo,4-2-3-1,Filipe Luís,0:1,0,1,Flamengo
Copa do Brasil,dom 10/11/24,Atlético-MG,Flamengo,4-2-3-1,Filipe Luís,0:1,0,1,Flamengo
Campeonato Brasileiro Série A,qua 13/11/24,Flamengo,Atlético-MG,3-4-2-1,Filipe Luís,0:0,0,0,Empate
