Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Paulista,qui 16/01/25,Bragantino,Corinthians,4-2-3-1,Fernando Seabra,1:2,1,2,Corinthians
Campeonato Paulista,dom 19/01/25,São Bernardo,Bragantino,4-3-3 ofensivo,Fernando Seabra,3:2,3,2,São Bernardo
Campeonato Paulista,qua 22/01/25,Bragantino,Velo Clube,4-2-3-1,Fernando Seabra,1:0,1,0,Bragantino
Campeonato Paulista,sáb 25/01/25,Água Santa,Bragantino,4-2-3-1,Fernando Seabra,3:0,3,0,Água Santa
Campeonato Paulista,ter 28/01/25,Palmeiras,Bragantino,4-2-3-1,Fernando Seabra,0:0,0,0,Empate
Campeonato Paulista,sex 31/01/25,Bragantino,Novorizontino,4-1-4-1,Fernando Seabra,1:2,1,2,Novorizontino
Campeonato Paulista,ter 04/02/25,Inter Limeira,Bragantino,4-2-3-1,Fernando Seabra,1:1,1,1,Empate
Campeonato Paulista,sáb 08/02/25,Bragantino,São Paulo,4-1-3-2,Fernando Seabra,1:0,1,0,Bragantino
Campeonato Paulista,ter 11/02/25,Botafogo-SP,Bragantino,4-3-3 ofensivo,Fernando Seabra,1:0,1,0,Botafogo-SP
Campeonato Paulista,sáb 15/02/25,Bragantino,Noroeste,4-3-3 ofensivo,Fernando Seabra,2:1,2,1,Bragantino
Campeonato Paulista,qui 20/02/25,Bragantino,Mirassol,4-3-3 ofensivo,Fernando Seabra,3:0,3,0,Bragantino
