Campeonato,Data,Time da casa,Time visitante,Formação,Técnico,Resultado,Gols Casa,Gols Visitante,Nome Time Vitorioso
Campeonato Gaúcho,qua 22/01/25,Guarany Bagé,Internacional,4-4-2 duplo 6,Roger Machado,2:2,2,2,Empate
Campeonato Gaúcho,sáb 25/01/25,Internacional,Juventude,4-2-3-1,Roger Machado,2:0,2,0,Internacional
Campeonato Gaúcho,ter 28/01/25,São José-RS,Internacional,4-3-3 defensivo,Roger Machado,0:2,0,2,Internacional
Campeonato Gaúcho,dom 02/02/25,Internacional,Avenida,4-3-3 defensivo,Roger Machado,1:0,1,0,Internacional
Campeonato Gaúcho,qua 05/02/25,Internacional,Brasil Pelotas,4-1-3-2,Roger Machado,3:0,3,0,Internacional
Campeonato Gaúcho,sáb 08/02/25,Grêmio,Internacional,4-1-3-2,Roger Machado,1:1,1,1,Empate
Campeonato Gaúcho,qua 12/02/25,São Luiz,Internacional,4-2-3-1,Roger Machado,1:3,1,3,Internacional
